FECHA,PERSONAL,HORA ENTRADA MAÑANA,HORA SALIDA MAÑANA,HORA DE ENTRADA TARDE,HORA SALIDA TARDE,Total de Horas,,
2024-09-02,PJ,09:00,13:00,13:45,19:00,09:15,,
2024-09-02,HJ,,,12:00,19:00,07:00,,
2024-09-02,DO,,,,,00:00,,
2024-09-02,RG,,,,,00:00,,
2024-09-02,SS,08:05,13:00,13:45,19:00,10:10,,
2024-09-02,JE,,,,,00:00,,
2024-09-02,CE,,,,,00:00,,
2024-09-02,VE,08:00,13:00,14:30,19:30,10:00,,
2024-09-02,AV,08:00,13:00,13:30,19:00,10:30,,
2024-09-02,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-02,MM,,,,,00:00,,
2024-09-02,HA,08:00,13:00,13:30,19:30,11:00,,
2024-09-02,CA,,,,,00:00,,
2024-09-02,EW,,,,,00:00,,
2024-09-02,GS,,,,,00:00,,
2024-09-02,KK,,,15:00,19:30,04:30,,
2024-09-02,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-02,RV,08:00,13:00,13:45,19:30,10:45,,
2024-09-02,YX,08:00,13:00,13:45,19:00,10:15,,
2024-09-02,IL,,,,,00:00,,
2024-09-02,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-02,EB,,,,,00:00,,
2024-09-02,TC,11:10,13:00,13:45,19:00,07:05,,
2024-09-02,DF,,,,,00:00,,
2024-09-02,WZ,08:00,13:00,16:00,20:00,09:00,,
2024-09-03,PJ,08:00,13:00,13:30,18:45,10:15,,
2024-09-03,HJ,,,12:00,19:00,07:00,,
2024-09-03,DO,08:10,13:00,13:30,19:12,10:32,,
2024-09-03,RG,,,,,00:00,,
2024-09-03,SS,08:00,13:00,13:45,19:00,10:15,,
2024-09-03,JE,,,,,00:00,,
2024-09-03,CE,,,,,00:00,,
2024-09-03,VE,08:00,13:00,15:00,20:00,10:00,,
2024-09-03,AV,08:00,13:00,13:30,18:30,10:00,,
2024-09-03,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-03,MM,,,,,00:00,,
2024-09-03,HA,08:00,13:00,13:30,20:00,11:30,,
2024-09-03,CA,08:05,13:00,13:30,18:45,10:10,,
2024-09-03,EW,,,,,00:00,,
2024-09-03,GS,,,,,00:00,,
2024-09-03,KK,08:00,13:00,15:00,20:00,10:00,,
2024-09-03,WN,08:00,13:00,,,05:00,,
2024-09-03,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-03,YX,08:00,13:00,15:00,19:00,09:00,,
2024-09-03,IL,,,,,00:00,,
2024-09-03,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-03,EB,,,,,00:00,,
2024-09-03,TC,09:20,13:00,15:10,20:00,08:30,,
2024-09-03,DF,,,,,00:00,,
2024-09-03,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-09-04,PJ,08:00,13:00,13:30,18:35,10:05,,
2024-09-04,HJ,,,12:10,19:00,06:50,,
2024-09-04,DO,,,,,00:00,,
2024-09-04,RG,,,,,00:00,,
2024-09-04,SS,08:00,13:00,13:30,19:00,10:30,,
2024-09-04,JE,,,,,00:00,,
2024-09-04,CE,,,,,00:00,,
2024-09-04,VE,08:00,13:00,,,05:00,,
2024-09-04,AV,08:00,13:00,,,05:00,,
2024-09-04,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-04,MM,,,,,00:00,,
2024-09-04,HA,08:00,13:00,13:30,19:00,10:30,,
2024-09-04,CA,08:00,13:00,,,05:00,,
2024-09-04,EW,,,,,00:00,,
2024-09-04,GS,,,,,00:00,,
2024-09-04,KK,08:00,13:00,15:00,19:00,09:00,,
2024-09-04,WN,08:00,13:00,15:00,19:00,09:00,,
2024-09-04,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-04,YX,08:00,13:00,13:45,19:00,10:15,,
2024-09-04,IL,,,,,00:00,,
2024-09-04,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-04,EB,,,,,00:00,,
2024-09-04,TC,09:10,13:00,,,03:50,,
2024-09-04,DF,,,,,00:00,,
2024-09-04,WZ,08:00,13:00,15:00,19:30,09:30,,
2024-09-05,PJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-05,HJ,,,12:00,19:00,07:00,,
2024-09-05,DO,08:00,13:00,13:30,19:00,10:30,,
2024-09-05,RG,,,,,00:00,,
2024-09-05,SS,08:00,13:00,13:45,19:30,10:45,,
2024-09-05,JE,,,,,00:00,,
2024-09-05,CE,,,,,00:00,,
2024-09-05,VE,09:00,13:20,15:10,19:30,08:40,,
2024-09-05,AV,08:00,13:00,13:30,18:30,10:00,,
2024-09-05,JJ,,,,,00:00,,
2024-09-05,MM,,,,,00:00,,
2024-09-05,HA,08:00,13:00,13:30,19:30,11:00,,
2024-09-05,CA,08:00,13:00,13:30,19:15,10:45,,
2024-09-05,EW,,,,,00:00,,
2024-09-05,GS,,,,,00:00,,
2024-09-05,KK,08:00,13:00,15:00,19:30,09:30,,
2024-09-05,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-05,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-05,YX,08:00,13:00,13:45,19:00,10:15,,
2024-09-05,IL,,,,,00:00,,
2024-09-05,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-05,EB,,,,,00:00,,
2024-09-05,TC,09:00,13:00,13:45,19:30,09:45,,
2024-09-05,DF,,,,,00:00,,
2024-09-05,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-09-06,PJ,08:00,13:00,13:30,18:50,10:20,,
2024-09-06,HJ,,,12:00,19:00,07:00,,
2024-09-06,DO,08:00,13:00,13:30,19:00,10:30,,
2024-09-06,RG,,,,,00:00,,
2024-09-06,SS,08:00,13:00,15:00,17:00,07:00,,
2024-09-06,JE,,,,,00:00,,
2024-09-06,CE,,,,,00:00,,
2024-09-06,VE,08:00,13:35,15:10,19:15,09:40,,
2024-09-06,AV,08:00,13:00,13:30,18:30,10:00,,
2024-09-06,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-06,MM,,,,,00:00,,
2024-09-06,HA,08:00,13:00,13:30,19:00,10:30,,
2024-09-06,CA,08:00,13:00,13:30,18:50,10:20,,
2024-09-06,EW,,,,,00:00,,
2024-09-06,GS,,,,,00:00,,
2024-09-06,KK,08:00,13:00,13:30,19:15,10:45,,
2024-09-06,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-06,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-06,YX,08:05,13:00,13:45,19:00,10:10,,
2024-09-06,IL,,,,,00:00,,
2024-09-06,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-06,EB,,,,,00:00,,
2024-09-06,TC,,,,,00:00,,
2024-09-06,DF,,,,,00:00,,
2024-09-06,WZ,08:00,13:00,15:00,19:30,09:30,,
2024-09-07,PJ,08:00,13:00,13:30,17:00,08:30,,
2024-09-07,HJ,,,11:15,17:00,05:45,,
2024-09-07,DO,08:00,13:00,13:30,17:00,08:30,,
2024-09-07,RG,,,,,00:00,,
2024-09-07,SS,08:00,13:00,13:45,17:00,08:15,,
2024-09-07,JE,,,,,00:00,,
2024-09-07,CE,,,,,00:00,,
2024-09-07,VE,08:00,13:00,15:00,17:30,07:30,,
2024-09-07,AV,08:00,13:00,14:00,17:00,08:00,,
2024-09-07,JJ,08:00,13:00,13:30,15:00,06:30,,
2024-09-07,MM,,,,,00:00,,
2024-09-07,HA,08:00,13:00,13:30,17:00,08:30,,
2024-09-07,CA,08:00,13:00,14:00,17:00,08:00,,
2024-09-07,EW,,,,,00:00,,
2024-09-07,GS,,,,,00:00,,
2024-09-07,KK,08:00,13:00,13:30,18:30,10:00,,
2024-09-07,WN,09:30,13:00,13:45,17:00,06:45,,
2024-09-07,RV,08:00,13:00,13:45,17:00,08:15,,
2024-09-07,YX,08:00,13:00,13:30,14:30,06:00,,
2024-09-07,IL,,,,,00:00,,
2024-09-07,MA,,,,,00:00,,
2024-09-07,EB,,,,,00:00,,
2024-09-07,TC,09:00,13:00,14:00,17:20,07:20,,
2024-09-07,DF,,,,,00:00,,
2024-09-07,WZ,08:00,13:00,14:00,17:30,08:30,,
2024-09-09,PJ,08:00,13:00,13:00,19:00,11:00,,
2024-09-09,HJ,,,12:00,19:00,07:00,,
2024-09-09,DO,08:00,13:00,13:30,19:10,10:40,,
2024-09-09,RG,,,,,00:00,,
2024-09-09,SS,08:00,13:00,13:45,19:00,10:15,,
2024-09-09,JE,,,,,00:00,,
2024-09-09,CE,,,,,00:00,,
2024-09-09,VE,08:00,13:00,15:00,20:00,10:00,,
2024-09-09,AV,,,,,00:00,,
2024-09-09,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-09,MM,,,,,00:00,,
2024-09-09,HA,08:00,13:00,13:30,19:00,10:30,,
2024-09-09,CA,08:00,13:00,13:30,19:00,10:30,,
2024-09-09,EW,,,,,00:00,,
2024-09-09,GS,,,,,00:00,,
2024-09-09,KK,08:45,13:00,15:00,20:00,09:15,,
2024-09-09,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-09,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-09,YX,,,13:00,19:00,06:00,,
2024-09-09,IL,,,,,00:00,,
2024-09-09,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-09,EB,,,,,00:00,,
2024-09-09,TC,09:20,13:00,15:00,20:00,08:40,,
2024-09-09,DF,,,,,00:00,,
2024-09-09,WZ,10:15,13:15,15:00,18:30,06:30,,
2024-09-10,PJ,08:00,13:00,13:30,18:50,10:20,,
2024-09-10,HJ,,,12:00,19:20,07:20,,
2024-09-10,DO,08:00,13:00,13:30,19:00,10:30,,
2024-09-10,RG,,,,,00:00,,
2024-09-10,SS,08:00,13:00,13:45,19:30,10:45,,
2024-09-10,JE,,,,,00:00,,
2024-09-10,CE,,,,,00:00,,
2024-09-10,VE,09:05,13:10,15:00,20:00,09:05,,
2024-09-10,AV,08:00,13:00,14:00,19:00,10:00,,
2024-09-10,JJ,08:00,13:00,13:30,19:30,11:00,,
2024-09-10,MM,,,,,00:00,,
2024-09-10,HA,08:00,13:00,13:30,19:00,10:30,,
2024-09-10,CA,08:00,13:00,14:00,19:00,10:00,,
2024-09-10,EW,,,,,00:00,,
2024-09-10,GS,,,,,00:00,,
2024-09-10,KK,08:00,13:00,,,05:00,,
2024-09-10,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-10,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-10,YX,08:05,13:00,13:45,19:30,10:40,,
2024-09-10,IL,,,,,00:00,,
2024-09-10,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-10,EB,,,,,00:00,,
2024-09-10,TC,09:20,13:00,13:45,19:30,09:25,,
2024-09-10,DF,,,,,00:00,,
2024-09-10,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-09-11,PJ,08:00,13:00,13:30,18:50,10:20,,
2024-09-11,HJ,,,12:00,19:00,07:00,,
2024-09-11,DO,08:00,13:00,13:30,19:25,10:55,,
2024-09-11,RG,,,,,00:00,,
2024-09-11,SS,08:00,13:00,13:45,19:00,10:15,,
2024-09-11,JE,,,,,00:00,,
2024-09-11,CE,,,,,00:00,,
2024-09-11,VE,08:00,13:00,15:00,19:00,09:00,,
2024-09-11,AV,08:00,13:00,13:30,19:00,10:30,,
2024-09-11,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-11,MM,,,,,00:00,,
2024-09-11,HA,08:00,13:00,13:30,19:00,10:30,,
2024-09-11,CA,,,,,00:00,,
2024-09-11,EW,,,,,00:00,,
2024-09-11,GS,,,,,00:00,,
2024-09-11,KK,08:00,13:00,15:00,19:00,09:00,,
2024-09-11,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-11,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-11,YX,,,13:00,19:00,06:00,,
2024-09-11,IL,,,,,00:00,,
2024-09-11,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-11,EB,,,,,00:00,,
2024-09-11,TC,09:20,13:00,13:45,19:00,08:55,,
2024-09-11,DF,,,,,00:00,,
2024-09-11,WZ,08:00,13:15,15:00,20:00,10:15,,
2024-09-12,PJ,08:00,13:00,13:30,18:45,10:15,,
2024-09-12,HJ,,,12:00,19:00,07:00,,
2024-09-12,DO,08:10,13:00,13:30,19:10,10:30,,
2024-09-12,RG,,,,,00:00,,
2024-09-12,SS,08:00,13:00,,,05:00,,
2024-09-12,JE,,,,,00:00,,
2024-09-12,CE,,,,,00:00,,
2024-09-12,VE,08:00,13:00,15:00,19:00,09:00,,
2024-09-12,AV,08:00,13:00,13:30,18:30,10:00,,
2024-09-12,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-12,MM,,,,,00:00,,
2024-09-12,HA,08:00,13:00,13:30,15:30,07:00,,
2024-09-12,CA,08:00,13:00,13:30,18:30,10:00,,
2024-09-12,EW,,,,,00:00,,
2024-09-12,GS,,,,,00:00,,
2024-09-12,KK,08:00,13:00,15:00,19:00,09:00,,
2024-09-12,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-12,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-12,YX,08:00,13:00,13:45,19:00,10:15,,
2024-09-12,IL,,,,,00:00,,
2024-09-12,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-12,EB,,,,,00:00,,
2024-09-12,TC,09:15,13:00,15:00,19:00,07:45,,
2024-09-12,DF,,,,,00:00,,
2024-09-12,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-09-13,PJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-13,HJ,,,11:30,19:00,07:30,,
2024-09-13,DO,08:10,13:00,13:30,19:10,10:30,,
2024-09-13,RG,,,,,00:00,,
2024-09-13,SS,08:00,13:00,13:45,19:00,10:15,,
2024-09-13,JE,,,,,00:00,,
2024-09-13,CE,,,,,00:00,,
2024-09-13,VE,08:00,13:00,14:30,20:00,10:30,,
2024-09-13,AV,08:00,13:00,13:30,18:30,10:00,,
2024-09-13,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-13,MM,,,,,00:00,,
2024-09-13,HA,08:00,13:00,13:30,20:00,11:30,,
2024-09-13,CA,08:00,13:00,13:30,19:00,10:30,,
2024-09-13,EW,,,,,00:00,,
2024-09-13,GS,,,,,00:00,,
2024-09-13,KK,08:30,13:00,15:00,20:00,09:30,,
2024-09-13,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-13,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-13,YX,08:00,13:00,13:45,19:00,10:15,,
2024-09-13,IL,,,,,00:00,,
2024-09-13,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-13,EB,,,,,00:00,,
2024-09-13,TC,,,15:15,20:00,04:45,,
2024-09-13,DF,,,,,00:00,,
2024-09-13,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-09-14,PJ,08:00,13:00,13:30,17:00,08:30,,
2024-09-14,HJ,,,11:45,17:45,06:00,,
2024-09-14,DO,08:00,13:00,13:30,17:00,08:30,,
2024-09-14,RG,,,,,00:00,,
2024-09-14,SS,08:00,13:00,13:45,17:00,08:15,,
2024-09-14,JE,,,,,00:00,,
2024-09-14,CE,,,,,00:00,,
2024-09-14,VE,08:00,13:00,15:00,17:00,07:00,,
2024-09-14,AV,08:30,13:00,14:00,17:00,07:30,,
2024-09-14,JJ,08:00,13:00,13:30,17:00,08:30,,
2024-09-14,MM,,,,,00:00,,
2024-09-14,HA,08:00,13:00,13:30,17:00,08:30,,
2024-09-14,CA,08:00,13:00,14:00,17:00,08:00,,
2024-09-14,EW,,,,,00:00,,
2024-09-14,GS,,,,,00:00,,
2024-09-14,KK,08:00,13:00,15:00,17:00,07:00,,
2024-09-14,WN,09:45,13:00,13:45,17:00,06:30,,
2024-09-14,RV,08:00,13:00,13:45,17:00,08:15,,
2024-09-14,YX,08:10,13:00,13:45,17:00,08:05,,
2024-09-14,IL,,,,,00:00,,
2024-09-14,MA,08:00,13:00,15:30,19:00,08:30,,
2024-09-14,EB,,,,,00:00,,
2024-09-14,TC,08:00,13:00,14:00,17:00,08:00,,
2024-09-14,DF,,,,,00:00,,
2024-09-14,WZ,08:00,13:30,14:30,19:00,10:00,,
2024-09-16,PJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-16,HJ,,,12:00,19:00,07:00,,
2024-09-16,DO,08:00,13:00,13:30,18:30,10:00,,
2024-09-16,RG,,,,,00:00,,
2024-09-16,SS,08:00,13:00,15:00,19:00,09:00,,
2024-09-16,JE,,,,,00:00,,
2024-09-16,CE,,,,,00:00,,
2024-09-16,VE,08:00,13:00,15:30,19:15,08:45,,
2024-09-16,AV,,,,,00:00,,
2024-09-16,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-16,MM,,,,,00:00,,
2024-09-16,HA,08:00,13:00,13:30,19:00,10:30,,
2024-09-16,CA,08:10,13:00,14:00,19:00,09:50,,
2024-09-16,EW,,,,,00:00,,
2024-09-16,GS,,,,,00:00,,
