FECHA,PERSONAL,HORA ENTRADA MAÑANA,HORA SALIDA MAÑANA,HORA DE ENTRADA TARDE,HORA SALIDA TARDE,Total de Horas,,
2024-09-16,KK,08:00,13:00,13:30,19:15,10:45,,
2024-09-16,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-16,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-16,YX,,,13:00,19:00,06:00,,
2024-09-16,IL,,,,,00:00,,
2024-09-16,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-16,EB,,,,,00:00,,
2024-09-16,TC,10:00,13:00,14:00,19:10,08:10,,
2024-09-16,DF,,,,,00:00,,
2024-09-16,WZ,08:00,13:00,15:00,19:30,09:30,,
2024-09-17,PJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-17,HJ,,,12:00,19:00,07:00,,
2024-09-17,DO,08:00,13:00,13:30,18:30,10:00,,
2024-09-17,RG,,,,,00:00,,
2024-09-17,SS,08:00,13:00,13:45,19:00,10:15,,
2024-09-17,JE,,,,,00:00,,
2024-09-17,CE,,,,,00:00,,
2024-09-17,VE,08:00,13:00,15:00,20:00,10:00,,
2024-09-17,AV,,,,,00:00,,
2024-09-17,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-17,MM,,,,,00:00,,
2024-09-17,HA,08:00,13:00,13:30,19:00,10:30,,
2024-09-17,CA,08:00,13:00,13:30,19:10,10:40,,
2024-09-17,EW,,,,,00:00,,
2024-09-17,GS,,,,,00:00,,
2024-09-17,KK,08:00,13:00,15:00,19:00,09:00,,
2024-09-17,WN,,,,,00:00,,
2024-09-17,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-17,YX,08:00,13:00,13:45,19:00,10:15,,
2024-09-17,IL,,,,,00:00,,
2024-09-17,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-17,EB,,,,,00:00,,
2024-09-17,TC,09:10,13:00,13:45,20:00,10:05,,
2024-09-17,DF,,,,,00:00,,
2024-09-17,WZ,08:00,13:00,15:00,20:10,10:10,,
2024-09-18,PJ,08:00,13:00,13:30,16:00,07:30,,
2024-09-18,HJ,,,12:00,16:00,04:00,,
2024-09-18,DO,08:00,13:00,13:30,18:30,10:00,,
2024-09-18,RG,,,,,00:00,,
2024-09-18,SS,08:00,13:00,13:45,16:00,07:15,,
2024-09-18,JE,,,,,00:00,,
2024-09-18,CE,,,,,00:00,,
2024-09-18,VE,08:00,13:30,15:00,20:10,10:40,,
2024-09-18,AV,08:00,13:00,13:30,16:00,07:30,,
2024-09-18,JJ,08:00,13:00,13:30,17:30,09:00,,
2024-09-18,MM,,,,,00:00,,
2024-09-18,HA,08:00,13:00,13:30,15:30,07:00,,
2024-09-18,CA,08:00,13:00,13:30,16:00,07:30,,
2024-09-18,EW,,,,,00:00,,
2024-09-18,GS,,,,,00:00,,
2024-09-18,KK,08:00,13:00,15:00,19:30,09:30,,
2024-09-18,WN,08:00,13:00,13:45,19:15,10:30,,
2024-09-18,RV,08:00,13:00,13:45,16:00,07:15,,
2024-09-18,YX,08:00,13:00,13:45,19:00,10:15,,
2024-09-18,IL,,,,,00:00,,
2024-09-18,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-18,EB,,,,,00:00,,
2024-09-18,TC,09:30,13:00,13:45,16:30,06:15,,
2024-09-18,DF,,,,,00:00,,
2024-09-18,WZ,09:00,13:00,16:00,20:00,08:00,,
2024-09-19,PJ,08:00,13:00,13:30,16:45,08:15,,
2024-09-19,HJ,,,12:00,19:00,07:00,,
2024-09-19,DO,08:00,13:00,13:30,18:30,10:00,,
2024-09-19,RG,,,,,00:00,,
2024-09-19,SS,08:00,13:00,13:45,19:00,10:15,,
2024-09-19,JE,,,,,00:00,,
2024-09-19,CE,,,,,00:00,,
2024-09-19,VE,08:00,13:00,15:00,19:45,09:45,,
2024-09-19,AV,08:00,13:00,13:30,18:30,10:00,,
2024-09-19,JJ,,,,,00:00,,
2024-09-19,MM,,,,,00:00,,
2024-09-19,HA,08:00,13:00,13:30,19:00,10:30,,
2024-09-19,CA,08:00,13:00,13:30,18:30,10:00,,
2024-09-19,EW,,,,,00:00,,
2024-09-19,GS,,,,,00:00,,
2024-09-19,KK,08:00,13:00,14:30,19:00,09:30,,
2024-09-19,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-19,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-19,YX,,,,,00:00,,
2024-09-19,IL,,,,,00:00,,
2024-09-19,MA,09:50,13:00,15:00,20:00,08:10,,
2024-09-19,EB,,,,,00:00,,
2024-09-19,TC,08:00,13:00,13:45,19:45,11:00,,
2024-09-19,DF,,,,,00:00,,
2024-09-19,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-09-20,PJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-20,HJ,,,12:10,19:00,06:50,,
2024-09-20,DO,08:00,13:00,13:30,19:00,10:30,,
2024-09-20,RG,,,,,00:00,,
2024-09-20,SS,10:00,13:00,13:45,19:00,08:15,,
2024-09-20,JE,10:00,13:00,13:30,19:00,08:30,,
2024-09-20,CE,10:00,13:00,,,03:00,,
2024-09-20,VE,08:00,13:30,15:20,19:30,09:40,,
2024-09-20,AV,08:00,13:00,13:30,19:00,10:30,,
2024-09-20,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-20,MM,,,,,00:00,,
2024-09-20,HA,08:00,13:00,13:30,19:00,10:30,,
2024-09-20,CA,08:00,13:00,13:30,19:00,10:30,,
2024-09-20,EW,,,,,00:00,,
2024-09-20,GS,,,,,00:00,,
2024-09-20,KK,,,,,00:00,,
2024-09-20,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-20,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-20,YX,,,,,00:00,,
2024-09-20,IL,,,,,00:00,,
2024-09-20,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-20,EB,08:00,13:00,15:00,19:00,09:00,,
2024-09-20,TC,09:15,13:00,13:45,19:15,09:15,,
2024-09-20,DF,,,,,00:00,,
2024-09-20,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-09-21,PJ,08:00,13:00,13:30,17:00,08:30,,
2024-09-21,HJ,,,12:00,17:00,05:00,,
2024-09-21,DO,08:00,13:00,13:30,17:00,08:30,,
2024-09-21,RG,,,,,00:00,,
2024-09-21,SS,08:05,13:00,13:45,17:00,08:10,,
2024-09-21,JE,08:00,13:00,13:30,17:00,08:30,,
2024-09-21,CE,,,,,00:00,,
2024-09-21,VE,08:00,13:00,15:00,18:00,08:00,,
2024-09-21,AV,,,,,00:00,,
2024-09-21,JJ,08:00,13:00,13:30,17:00,08:30,,
2024-09-21,MM,,,,,00:00,,
2024-09-21,HA,08:00,13:00,13:30,17:00,08:30,,
2024-09-21,CA,08:00,13:00,13:30,17:00,08:30,,
2024-09-21,EW,,,,,00:00,,
2024-09-21,GS,,,,,00:00,,
2024-09-21,KK,08:00,13:00,15:00,17:00,07:00,,
2024-09-21,WN,08:00,13:00,13:45,17:00,08:15,,
2024-09-21,RV,08:00,13:00,13:45,17:00,08:15,,
2024-09-21,YX,08:00,13:00,13:45,17:00,08:15,,
2024-09-21,IL,,,,,00:00,,
2024-09-21,MA,08:00,13:00,15:00,19:00,09:00,,
2024-09-21,EB,08:00,13:00,14:00,17:00,08:00,,
2024-09-21,TC,,,,,00:00,,
2024-09-21,DF,,,,,00:00,,
2024-09-21,WZ,08:00,13:00,,,05:00,,
2024-09-23,PJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-23,HJ,,,12:10,19:00,06:50,,
2024-09-23,DO,08:00,13:00,13:30,18:30,10:00,,
2024-09-23,RG,,,,,00:00,,
2024-09-23,SS,08:00,13:00,13:45,19:00,10:15,,
2024-09-23,JE,08:05,13:00,13:30,19:00,10:25,,
2024-09-23,CE,08:00,13:00,13:30,18:45,10:15,,
2024-09-23,VE,08:00,13:00,15:00,20:00,10:00,,
2024-09-23,AV,08:00,13:00,13:30,18:45,10:15,,
2024-09-23,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-23,MM,,,,,00:00,,
2024-09-23,HA,08:00,13:00,13:30,19:00,10:30,,
2024-09-23,CA,,,,,00:00,,
2024-09-23,EW,,,,,00:00,,
2024-09-23,GS,,,,,00:00,,
2024-09-23,KK,08:00,13:00,15:00,20:00,10:00,,
2024-09-23,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-23,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-23,YX,08:15,13:00,13:45,19:00,10:00,,
2024-09-23,IL,,,,,00:00,,
2024-09-23,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-23,EB,08:00,13:00,15:00,19:00,09:00,,
2024-09-23,TC,09:10,13:00,15:00,19:15,08:05,,
2024-09-23,DF,,,,,00:00,,
2024-09-23,WZ,08:00,13:00,15:00,19:30,09:30,,
2024-09-24,PJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-24,HJ,,,12:10,19:00,06:50,,
2024-09-24,DO,08:00,13:00,,,05:00,,
2024-09-24,RG,,,,,00:00,,
2024-09-24,SS,08:00,13:00,13:45,19:00,10:15,,
2024-09-24,JE,08:00,13:00,13:30,19:00,10:30,,
2024-09-24,CE,08:00,13:00,13:30,18:45,10:15,,
2024-09-24,VE,08:00,13:00,15:00,19:30,09:30,,
2024-09-24,AV,08:00,13:00,13:30,18:30,10:00,,
2024-09-24,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-24,MM,,,,,00:00,,
2024-09-24,HA,08:00,13:00,13:30,19:00,10:30,,
2024-09-24,CA,,,13:00,19:00,06:00,,
2024-09-24,EW,,,,,00:00,,
2024-09-24,GS,,,,,00:00,,
2024-09-24,KK,08:00,13:00,15:00,19:30,09:30,,
2024-09-24,WN,08:00,13:00,,,05:00,,
2024-09-24,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-24,YX,08:00,13:00,13:45,19:00,10:15,,
2024-09-24,IL,,,,,00:00,,
2024-09-24,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-24,EB,08:00,13:00,15:00,19:00,09:00,,
2024-09-24,TC,09:10,13:00,13:45,19:00,09:05,,
2024-09-24,DF,,,,,00:00,,
2024-09-24,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-09-25,PJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-25,HJ,,,12:10,19:00,06:50,,
2024-09-25,DO,08:00,13:00,13:30,18:30,10:00,,
2024-09-25,RG,,,,,00:00,,
2024-09-25,SS,08:00,13:00,13:45,19:00,10:15,,
2024-09-25,JE,08:00,13:00,13:30,19:00,10:30,,
2024-09-25,CE,08:00,13:00,13:30,18:45,10:15,,
2024-09-25,VE,08:00,13:00,15:00,20:00,10:00,,
2024-09-25,AV,,,,,00:00,,
2024-09-25,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-25,MM,,,,,00:00,,
2024-09-25,HA,08:00,13:00,13:30,20:00,11:30,,
2024-09-25,CA,08:00,13:00,13:30,19:10,10:40,,
2024-09-25,EW,,,,,00:00,,
2024-09-25,GS,,,,,00:00,,
2024-09-25,KK,,,,,00:00,,
2024-09-25,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-25,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-25,YX,,,13:00,19:00,06:00,,
2024-09-25,IL,,,,,00:00,,
2024-09-25,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-25,EB,08:05,13:00,15:00,19:00,08:55,,
2024-09-25,TC,09:20,13:00,13:45,19:00,08:55,,
2024-09-25,DF,,,,,00:00,,
2024-09-25,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-09-26,PJ,08:00,13:00,13:30,20:00,11:30,,
2024-09-26,HJ,,,,,00:00,,
2024-09-26,DO,08:00,13:00,13:30,18:30,10:00,,
2024-09-26,RG,,,,,00:00,,
2024-09-26,SS,08:00,13:00,13:45,19:30,10:45,,
2024-09-26,JE,08:00,13:00,13:30,19:30,11:00,,
2024-09-26,CE,,,,,00:00,,
2024-09-26,VE,09:15,13:00,14:40,20:00,09:05,,
2024-09-26,AV,08:00,13:00,13:30,19:00,10:30,,
2024-09-26,JJ,08:00,13:00,13:30,20:00,11:30,,
2024-09-26,MM,,,,,00:00,,
2024-09-26,HA,08:00,13:00,13:30,20:00,11:30,,
2024-09-26,CA,08:00,13:00,13:30,20:00,11:30,,
2024-09-26,EW,,,,,00:00,,
2024-09-26,GS,,,,,00:00,,
2024-09-26,KK,08:00,,,20:00,12:00,,
2024-09-26,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-26,RV,08:00,13:00,13:30,19:00,10:30,,
2024-09-26,YX,08:00,13:00,13:45,19:00,10:15,,
2024-09-26,IL,,,,,00:00,,
2024-09-26,MA,08:00,13:00,15:00,19:30,09:30,,
2024-09-26,EB,08:00,13:00,15:00,20:00,10:00,,
2024-09-26,TC,09:15,13:00,14:30,20:00,09:15,,
2024-09-26,DF,,,,,00:00,,
2024-09-26,WZ,08:00,13:00,15:00,17:20,07:20,,
2024-09-27,PJ,08:00,13:00,13:30,19:45,11:15,,
2024-09-27,HJ,,,11:00,19:00,08:00,,
2024-09-27,DO,08:00,13:00,13:30,18:30,10:00,,
2024-09-27,RG,,,,,00:00,,
2024-09-27,SS,08:00,13:00,13:45,19:00,10:15,,
2024-09-27,JE,08:00,13:00,13:30,19:00,10:30,,
2024-09-27,CE,,,,,00:00,,
2024-09-27,VE,08:00,13:00,14:40,20:20,10:40,,
2024-09-27,AV,08:00,13:00,13:30,20:20,11:50,,
2024-09-27,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-27,MM,,,,,00:00,,
2024-09-27,HA,08:00,13:00,13:30,20:20,11:50,,
2024-09-27,CA,08:00,13:00,13:30,20:20,11:50,,
2024-09-27,EW,,,,,00:00,,
2024-09-27,GS,,,,,00:00,,
2024-09-27,KK,07:45,,,20:20,12:35,,
2024-09-27,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-27,RV,08:00,13:00,13:30,19:15,10:45,,
2024-09-27,YX,08:00,13:00,13:30,19:30,11:00,,
2024-09-27,IL,,,,,00:00,,
2024-09-27,MA,08:00,13:00,15:00,20:00,10:00,,
2024-09-27,EB,08:00,13:00,15:00,19:00,09:00,,
2024-09-27,TC,08:00,13:00,13:45,20:20,11:35,,
2024-09-27,DF,,,,,00:00,,
2024-09-27,WZ,08:00,13:00,15:00,20:00,10:00,,
2024-09-28,PJ,08:00,13:00,13:30,18:40,10:10,,
2024-09-28,HJ,,,10:00,18:00,08:00,,
2024-09-28,DO,08:00,13:00,13:30,17:00,08:30,,
2024-09-28,RG,,,,,00:00,,
2024-09-28,SS,07:45,13:00,13:45,17:15,08:45,,
2024-09-28,JE,07:50,13:00,13:00,18:45,10:55,,
2024-09-28,CE,,,,,00:00,,
2024-09-28,VE,,,,,00:00,,
2024-09-28,AV,08:00,13:00,14:00,19:00,10:00,,
2024-09-28,JJ,08:00,13:00,13:30,17:00,08:30,,
2024-09-28,MM,,,,,00:00,,
2024-09-28,HA,08:30,13:00,13:30,19:00,10:00,,
2024-09-28,CA,08:00,13:00,14:00,19:00,10:00,,
2024-09-28,EW,,,,,00:00,,
2024-09-28,GS,,,,,00:00,,
2024-09-28,KK,07:40,,,19:00,11:20,,
2024-09-28,WN,08:00,13:00,13:30,17:30,09:00,,
2024-09-28,RV,09:00,13:00,13:30,17:00,07:30,,
2024-09-28,YX,08:05,13:00,13:45,19:00,10:10,,
2024-09-28,IL,,,,,00:00,,
2024-09-28,MA,08:00,13:00,15:00,19:00,09:00,,
2024-09-28,EB,08:00,13:00,13:45,18:30,09:45,,
2024-09-28,TC,,,,,00:00,,
2024-09-28,DF,,,,,00:00,,
2024-09-28,WZ,08:00,13:00,14:30,19:00,09:30,,
2024-09-30,PJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-30,HJ,09:30,13:00,13:30,19:00,09:00,,
2024-09-30,DO,08:00,13:00,13:30,18:30,10:00,,
2024-09-30,RG,,,,,00:00,,
2024-09-30,SS,08:00,13:00,13:45,20:00,11:15,,
2024-09-30,JE,08:00,13:00,13:30,19:00,10:30,,
2024-09-30,CE,,,,,00:00,,
2024-09-30,VE,08:00,13:00,14:30,21:10,11:40,,
2024-09-30,AV,,,,,00:00,,
2024-09-30,JJ,08:00,13:00,13:30,19:00,10:30,,
2024-09-30,MM,,,,,00:00,,
2024-09-30,HA,08:00,13:00,13:30,20:00,11:30,,
2024-09-30,CA,08:00,13:00,13:30,21:10,12:40,,
2024-09-30,EW,,,,,00:00,,
2024-09-30,GS,,,,,00:00,,
2024-09-30,KK,08:00,13:00,15:00,21:10,11:10,,
2024-09-30,WN,08:00,13:00,13:45,19:00,10:15,,
2024-09-30,RV,08:00,13:00,13:45,19:00,10:15,,
2024-09-30,YX,08:00,13:00,13:45,19:30,10:45,,
2024-09-30,IL,,,,,00:00,,
2024-09-30,MA,08:30,13:00,15:00,20:00,09:30,,
2024-09-30,EB,08:00,13:00,15:00,19:30,09:30,,
2024-09-30,TC,09:15,13:00,15:00,21:10,09:55,,
2024-09-30,DF,,,,,00:00,,
2024-09-30,WZ,08:00,13:00,15:00,20:00,10:00,,
