"id";"name";"department_id"
"0101";"CHACHAPOYAS";"01"
"0102";"BAGUA";"01"
"0103";"BONGARÁ";"01"
"0104";"CONDORCANQUI";"01"
"0105";"LUYA";"01"
"0106";"RODRÍGUEZ DE MENDOZA";"01"
"0107";"UTCUBAMBA";"01"
"0201";"HUARAZ";"02"
"0202";"AIJA";"02"
"0203";"ANTONIO RAYMONDI";"02"
"0204";"ASUNCIÓN";"02"
"0205";"BOLOGNESI";"02"
"0206";"CARHUAZ";"02"
"0207";"CARLOS FERMÍN FITZCARRALD";"02"
"0208";"CASMA";"02"
"0209";"CORONGO";"02"
"0210";"HUARI";"02"
"0211";"HUARMEY";"02"
"0212";"HUAYLAS";"02"
"0213";"MARISCAL LUZURIAGA";"02"
"0214";"OCROS";"02"
"0215";"PALLASCA";"02"
"0216";"POMABAMBA";"02"
"0217";"RECUAY";"02"
"0218";"SANTA";"02"
"0219";"SIHUAS";"02"
"0220";"YUNGAY";"02"
"0301";"ABANCAY";"03"
"0302";"ANDAHUAYLAS";"03"
"0303";"ANTABAMBA";"03"
"0304";"AYMARAES";"03"
"0305";"COTABAMBAS";"03"
"0306";"CHINCHEROS";"03"
"0307";"GRAU";"03"
"0401";"AREQUIPA";"04"
"0402";"CAMANÁ";"04"
"0403";"CARAVELÍ";"04"
"0404";"CASTILLA";"04"
"0405";"CAYLLOMA";"04"
"0406";"CONDESUYOS";"04"
"0407";"ISLAY";"04"
"0408";"LA UNIÒN";"04"
"0501";"HUAMANGA";"05"
"0502";"CANGALLO";"05"
"0503";"HUANCA SANCOS";"05"
"0504";"HUANTA";"05"
"0505";"LA MAR";"05"
"0506";"LUCANAS";"05"
"0507";"PARINACOCHAS";"05"
"0508";"PÀUCAR DEL SARA SARA";"05"
"0509";"SUCRE";"05"
"0510";"VÍCTOR FAJARDO";"05"
"0511";"VILCAS HUAMÁN";"05"
"0601";"CAJAMARCA";"06"
"0602";"CAJABAMBA";"06"
"0603";"CELENDÍN";"06"
"0604";"CHOTA";"06"
"0605";"CONTUMAZÁ";"06"
"0606";"CUTERVO";"06"
"0607";"HUALGAYOC";"06"
"0608";"JAÉN";"06"
"0609";"SAN IGNACIO";"06"
"0610";"SAN MARCOS";"06"
"0611";"SAN MIGUEL";"06"
"0612";"SAN PABLO";"06"
"0613";"SANTA CRUZ";"06"
"0701";"PROV. CONST. DEL CALLAO";"07"
"0801";"CUSCO";"08"
"0802";"ACOMAYO";"08"
"0803";"ANTA";"08"
"0804";"CALCA";"08"
"0805";"CANAS";"08"
"0806";"CANCHIS";"08"
"0807";"CHUMBIVILCAS";"08"
"0808";"ESPINAR";"08"
"0809";"LA CONVENCIÓN";"08"
"0810";"PARURO";"08"
"0811";"PAUCARTAMBO";"08"
"0812";"QUISPICANCHI";"08"
"0813";"URUBAMBA";"08"
"0901";"HUANCAVELICA";"09"
"0902";"ACOBAMBA";"09"
"0903";"ANGARAES";"09"
"0904";"CASTROVIRREYNA";"09"
"0905";"CHURCAMPA";"09"
"0906";"HUAYTARÁ";"09"
"0907";"TAYACAJA";"09"
"1001";"HUÁNUCO";"10"
"1002";"AMBO";"10"
"1003";"DOS DE MAYO";"10"
"1004";"HUACAYBAMBA";"10"
"1005";"HUAMALÍES";"10"
"1006";"LEONCIO PRADO";"10"
"1007";"MARAÑÓN";"10"
"1008";"PACHITEA";"10"
"1009";"PUERTO INCA";"10"
"1010";"LAURICOCHA ";"10"
"1011";"YAROWILCA ";"10"
"1101";"ICA ";"11"
"1102";"CHINCHA ";"11"
"1103";"NASCA ";"11"
"1104";"PALPA ";"11"
"1105";"PISCO ";"11"
"1201";"HUANCAYO ";"12"
"1202";"CONCEPCIÓN ";"12"
"1203";"CHANCHAMAYO ";"12"
"1204";"JAUJA ";"12"
"1205";"JUNÍN ";"12"
"1206";"SATIPO ";"12"
"1207";"TARMA ";"12"
"1208";"YAULI ";"12"
"1209";"CHUPACA ";"12"
"1301";"TRUJILLO ";"13"
"1302";"ASCOPE ";"13"
"1303";"BOLÍVAR ";"13"
"1304";"CHEPÉN ";"13"
"1305";"JULCÁN ";"13"
"1306";"OTUZCO ";"13"
"1307";"PACASMAYO ";"13"
"1308";"PATAZ ";"13"
"1309";"SÁNCHEZ CARRIÓN ";"13"
"1310";"SANTIAGO DE CHUCO ";"13"
"1311";"GRAN CHIMÚ ";"13"
"1312";"VIRÚ ";"13"
"1401";"CHICLAYO ";"14"
"1402";"FERREÑAFE ";"14"
"1403";"LAMBAYEQUE ";"14"
"1501";"LIMA ";"15"
"1502";"BARRANCA ";"15"
"1503";"CAJATAMBO ";"15"
"1504";"CANTA ";"15"
"1505";"CAÑETE ";"15"
"1506";"HUARAL ";"15"
"1507";"HUAROCHIRÍ ";"15"
"1508";"HUAURA ";"15"
"1509";"OYÓN ";"15"
"1510";"YAUYOS ";"15"
"1601";"MAYNAS ";"16"
"1602";"ALTO AMAZONAS ";"16"
"1603";"LORETO ";"16"
"1604";"MARISCAL RAMÓN CASTILLA ";"16"
"1605";"REQUENA ";"16"
"1606";"UCAYALI ";"16"
"1607";"DATEM DEL MARAÑÓN ";"16"
"1608";"PUTUMAYO";"16"
"1701";"TAMBOPATA ";"17"
"1702";"MANU ";"17"
"1703";"TAHUAMANU ";"17"
"1801";"MARISCAL NIETO ";"18"
"1802";"GENERAL SÁNCHEZ CERRO ";"18"
"1803";"ILO ";"18"
"1901";"PASCO ";"19"
"1902";"DANIEL ALCIDES CARRIÓN ";"19"
"1903";"OXAPAMPA ";"19"
"2001";"PIURA ";"20"
"2002";"AYABACA ";"20"
"2003";"HUANCABAMBA ";"20"
"2004";"MORROPÓN ";"20"
"2005";"PAITA ";"20"
"2006";"SULLANA ";"20"
"2007";"TALARA ";"20"
"2008";"SECHURA ";"20"
"2101";"PUNO ";"21"
"2102";"AZÁNGARO ";"21"
"2103";"CARABAYA ";"21"
"2104";"CHUCUITO ";"21"
"2105";"EL COLLAO ";"21"
"2106";"HUANCANÉ ";"21"
"2107";"LAMPA ";"21"
"2108";"MELGAR ";"21"
"2109";"MOHO ";"21"
"2110";"SAN ANTONIO DE PUTINA ";"21"
"2111";"SAN ROMÁN ";"21"
"2112";"SANDIA ";"21"
"2113";"YUNGUYO ";"21"
"2201";"MOYOBAMBA ";"22"
"2202";"BELLAVISTA ";"22"
"2203";"EL DORADO ";"22"
"2204";"HUALLAGA ";"22"
"2205";"LAMAS ";"22"
"2206";"MARISCAL CÁCERES ";"22"
"2207";"PICOTA ";"22"
"2208";"RIOJA ";"22"
"2209";"SAN MARTÍN ";"22"
"2210";"TOCACHE ";"22"
"2301";"TACNA ";"23"
"2302";"CANDARAVE ";"23"
"2303";"JORGE BASADRE ";"23"
"2304";"TARATA ";"23"
"2401";"TUMBES ";"24"
"2402";"CONTRALMIRANTE VILLAR ";"24"
"2403";"ZARUMILLA ";"24"
"2501";"CORONEL PORTILLO ";"25"
"2502";"ATALAYA ";"25"
"2503";"PADRE ABAD ";"25"
"2504";"PURÚS";"25"
